,COMUNA,P09,esc_rec,urban,hom,Artés,Boric,Kast,MEO,Parisi,Provoste,Sichel,cluster
72,5705,47.34639646743416,9.840685879890517,0.4045891815171109,0.4925879198864532,0.018458197611292,0.2802854040639057,0.2143632697378625,0.0831394447029626,0.146424693655964,0.1599193423297658,0.0974096478982472,3
73,5706,45.87104131941398,9.888271162123386,0.6404947802438811,0.4894288972716905,0.0099510878731657,0.1937932197672457,0.2265137459942654,0.0757294653398549,0.1924439197166469,0.1716984314386911,0.1298701298701298,4
74,5801,46.50752541796061,12.080599244354628,0.9855787637724932,0.4613349215127408,0.0153120815884682,0.2952739082129732,0.2829672677548927,0.0799789191806968,0.1174401048343446,0.0877987636384354,0.1212289547901888,6
75,5802,46.28845268247755,10.99323659982719,0.8507080359198711,0.476427584618927,0.0144950044002691,0.2714189573950406,0.2968887508412279,0.067039395351245,0.1322669151524564,0.0927162602888647,0.1251747165708961,4
76,5803,47.49028478196381,10.539996940960538,0.6987540789083359,0.4870958172649066,0.0128433367243133,0.2447863682604272,0.3336724313326551,0.0713377416073245,0.1135554425228891,0.0966429298067141,0.1271617497456765,3
77,5804,45.76032660400832,11.94786440241863,0.9900262412311424,0.4606224712757838,0.0166533101385821,0.2804675436367546,0.2998964054651004,0.0772072477082152,0.1279294775317136,0.0853775336682238,0.1124684818514102,6
78,6101,44.74804004074944,11.265943012211668,0.9664703016344068,0.478866767063826,0.0120959641350434,0.2717045370438901,0.24034384681265,0.0837624369561309,0.1710035209406092,0.0954037450965879,0.1256859490150882,1
79,6102,45.05351618890493,9.707614640302904,0.5336151783872963,0.5032996494122499,0.0109227871939736,0.2499058380414312,0.2212806026365348,0.0983050847457627,0.1898305084745762,0.1209039548022598,0.1088512241054614,4
80,6103,47.25984391628237,9.775193798449612,0.4680737850301525,0.5097552323518978,0.0073372057474778,0.2350963008254356,0.2892081932130846,0.0889636196881687,0.1290125343931519,0.1051666157138489,0.1452155304188321,3
81,6104,46.02781384541789,9.27328020134228,0.5588737784459783,0.4996241372240825,0.0103961787018825,0.2143860635009834,0.2641191345883675,0.0817645406012925,0.1600168586681652,0.1368361899409946,0.1324810339983141,3
82,6105,45.44521345407503,10.21216557966192,0.779430789133247,0.4932729624838292,0.0106737059566165,0.2631699758980833,0.2266727877883622,0.0872259841615976,0.1719270056237805,0.1158039710776999,0.1245265694938597,4
83,6106,43.882758905694686,10.504652644996812,0.8873873873873874,0.4912389453673857,0.0114632501685772,0.2790140106390949,0.2166029819435079,0.1007717089982767,0.1676781299168352,0.1136585000374616,0.1108114182962463,1
84,6107,46.56008342692122,9.109074752860158,0.382908176907856,0.5132894807208942,0.011743450767841,0.2250451671183378,0.2700993676603432,0.0879629629629629,0.0942863595302619,0.1661020776874435,0.1447606142728094,3
85,6108,43.874774118725895,12.3545582901913,0.978666019365105,0.4798392534455322,0.0084421321291842,0.2499754589182291,0.2742220477078629,0.0794640227741238,0.1415529596544615,0.0907038382251889,0.1556395405909492,1
86,6109,46.70288657789872,9.20860172430879,0.4010107882204295,0.5040334337642142,0.0080014886490509,0.1979903237811686,0.3146631931522143,0.0770375883885374,0.1276516561220692,0.1477484183103833,0.1269073315965761,3
87,6110,45.080876835673706,9.895071891120624,0.8265623325115232,0.4967306249330046,0.0132013201320132,0.2740305280528052,0.2352516501650165,0.0882838283828382,0.1643976897689769,0.1152021452145214,0.1096328382838283,4
