Comuna,Nro.Voto,Nro Región,Votos
CONCHALI,5.0,13,1146
CONCHALI,6.0,13,6538
CONCHALI,7.0,13,4787
CONCON,1.0,5,5100
CONCON,2.0,5,9357
CONCON,3.0,5,2029
CONCON,4.0,5,4702
CONCON,5.0,5,222
CONCON,6.0,5,1251
CONCON,7.0,5,2128
CONSTITUCION,1.0,7,2927
CONSTITUCION,2.0,7,4469
CONSTITUCION,3.0,7,2754
CONSTITUCION,4.0,7,2062
CONSTITUCION,5.0,7,188
CONSTITUCION,6.0,7,1188
CONSTITUCION,7.0,7,3860
CONTULMO,1.0,8,330
CONTULMO,2.0,8,1557
CONTULMO,3.0,8,306
CONTULMO,4.0,8,138
CONTULMO,5.0,8,26
CONTULMO,6.0,8,139
CONTULMO,7.0,8,215
COPIAPO,1.0,3,11766
COPIAPO,2.0,3,11840
COPIAPO,3.0,3,10378
COPIAPO,4.0,3,4341
COPIAPO,5.0,3,770
COPIAPO,6.0,3,3207
COPIAPO,7.0,3,13607
COQUIMBO,1.0,4,18946
COQUIMBO,2.0,4,15848
COQUIMBO,3.0,4,7919
COQUIMBO,4.0,4,7477
COQUIMBO,5.0,4,1052
COQUIMBO,6.0,4,5797
COQUIMBO,7.0,4,14955
CORONEL,1.0,8,8256
CORONEL,2.0,8,11599
CORONEL,3.0,8,4787
CORONEL,4.0,8,2766
CORONEL,5.0,8,496
CORONEL,6.0,8,3193
CORONEL,7.0,8,10234
CORRAL,1.0,14,578
CORRAL,2.0,14,556
CORRAL,3.0,14,519
CORRAL,4.0,14,148
CORRAL,5.0,14,22
CORRAL,6.0,14,134
CORRAL,7.0,14,310
COYHAIQUE,1.0,11,5787
COYHAIQUE,2.0,11,6756
COYHAIQUE,3.0,11,3845
COYHAIQUE,4.0,11,2350
COYHAIQUE,5.0,11,284
COYHAIQUE,6.0,11,1090
COYHAIQUE,7.0,11,2699
CUNCO,1.0,9,1091
CUNCO,2.0,9,3389
CUNCO,3.0,9,1167
CUNCO,4.0,9,779
CUNCO,5.0,9,57
CUNCO,6.0,9,413
CUNCO,7.0,9,961
CURACAUTIN,1.0,9,996
CURACAUTIN,2.0,9,4160
CURACAUTIN,3.0,9,840
CURACAUTIN,4.0,9,605
CURACAUTIN,5.0,9,59
CURACAUTIN,6.0,9,353
CURACAUTIN,7.0,9,657
CURACAVI,1.0,13,3875
CURACAVI,2.0,13,3664
CURACAVI,3.0,13,1661
CURACAVI,4.0,13,1831
CURACAVI,5.0,13,168
CURACAVI,6.0,13,1002
CURACAVI,7.0,13,1238
CURACO DE VELEZ,1.0,10,255
CURACO DE VELEZ,2.0,10,301
CURACO DE VELEZ,3.0,10,291
CURACO DE VELEZ,4.0,10,114
CURACO DE VELEZ,5.0,10,10
CURACO DE VELEZ,6.0,10,57
CURACO DE VELEZ,7.0,10,211
CURANILAHUE,1.0,8,2127
CURANILAHUE,2.0,8,3898
CURANILAHUE,3.0,8,1932
CURANILAHUE,4.0,8,801
CURANILAHUE,5.0,8,157
CURANILAHUE,6.0,8,789
CURANILAHUE,7.0,8,2560
CURARREHUE,1.0,9,548
CURARREHUE,2.0,9,1231
CURARREHUE,3.0,9,333
CURARREHUE,4.0,9,341
CURARREHUE,5.0,9,51
CURARREHUE,6.0,9,125
